cust_id,income,age,years_with_bank,nbr_children,gender,marital_status,postal_code,state_code
28615104,6062.1,78,8,1,F,2,77099,TX
31349805,19002.6,60,0,0,M,2,53217,WI
24537492,43695.0,57,5,3,F,3,64136,MO
21809296,108877.6,37,10,1,F,1,40263,KY
28627767,3141.4,22,1,1,M,1,14669,NY
16354860,2438.7,42,8,5,F,2,93702,CA
24533658,29296.8,42,0,5,F,4,60636,IL
23164931,4512.8,23,4,0,F,1,14686,NY
16358328,5097.8,58,8,4,F,3,64136,MO
14987643,30863.8,34,4,4,F,4,10070,NY
23165747,18566.5,51,6,1,M,2,89194,NV
27251740,17598.0,27,8,0,F,2,73169,OK
14994617,22957.0,50,10,7,F,2,94150,CA
24531048,10656.0,68,6,2,F,3,38166,TN
17714983,33995.0,42,8,3,M,2,89194,NV
16356900,2637.6,49,9,4,M,2,10171,NY
29986176,77257.4,62,12,1,F,2,80243,CO
21802240,9687.6,71,4,1,F,2,85724,AZ
29989520,40805.6,43,13,0,F,1,90024,CA
14994188,30595.4,26,5,4,F,2,78734,TX
29994822,21997.8,49,9,0,M,2,10208,NY
21811376,115627.2,47,9,1,F,1,94187,CA
14991130,12026.3,20,5,2,F,1,15279,PA
13625400,49731.0,63,3,1,F,2,60639,IL
23174536,1917.7,75,1,0,F,2,60624,IL
17714697,0.0,9,8,2,F,1,90750,CA
29995108,56911.8,59,9,1,F,4,45275,OH
27253820,52300.0,46,7,1,M,2,89194,NV
29991478,136147.0,57,7,2,F,2,90174,CA
20440365,39225.0,51,7,3,M,2,89194,NV
16357512,12337.3,53,3,5,F,2,23541,VA
24525828,18045.0,37,5,2,F,2,10126,NY
13628990,43715.0,34,4,3,F,2,60634,IL
23163707,4336.7,24,5,0,M,1,87194,NM
14994760,20402.8,40,10,2,F,1,90024,CA
14987786,48259.2,43,3,2,F,2,94145,CA
13627970,17912.0,33,3,4,F,2,98165,WA
28624974,2361.2,73,3,1,F,2,55174,MN
28617918,2516.2,34,4,1,F,1,38177,TN
25898919,10051.6,45,2,0,F,3,77044,TX
27260060,15936.0,68,10,0,M,2,10146,NY
28627788,7609.8,42,2,1,M,1,02189,MA
17715126,25725.7,35,12,2,M,1,40218,KY
24527826,50302.8,41,8,2,F,1,90191,CA
13627440,3618.0,90,10,1,F,2,53206,WI
21803872,48841.0,28,10,1,M,1,55411,MN
23174128,14086.4,55,1,2,F,4,43630,OH
28622160,12104.8,60,10,2,M,2,28223,NC
27262140,40368.0,41,3,0,F,1,32232,FL
19087054,36411.2,35,5,3,F,4,97297,OR
17714840,10766.6,69,6,2,F,2,92149,CA
20439570,10512.0,45,2,3,F,4,92705,CA
16352496,3201.7,32,7,3,M,1,10164,NY
21800160,28080.0,89,12,1,F,2,46260,IN
25887234,2033.2,81,8,0,F,3,75230,TX
21803056,67990.0,46,8,2,M,2,89194,NV
14994474,21609.5,41,8,4,M,2,92821,CA
21801424,79752.4,64,7,1,F,2,98137,WA
13634740,3339.0,21,6,1,F,1,94239,CA
27259080,86634.0,30,2,3,F,2,95137,CA
27261120,4884.0,19,3,0,F,1,53277,WI
27269480,6678.0,20,7,0,F,1,94239,CA
27262180,17994.0,23,4,2,M,2,78734,TX
16351272,7683.1,54,4,3,F,1,85008,AZ
17721080,24112.4,34,11,2,F,1,90024,CA
21807216,62634.0,67,10,1,M,2,40564,KY
21805584,57202.6,44,7,1,F,1,37209,TN
20437530,23295.0,62,9,4,M,2,90785,CA
24526602,55213.2,66,4,2,F,2,98137,WA
24527214,27997.2,75,3,2,M,2,77099,TX
13630050,6144.0,23,2,1,F,2,75328,TX
31356636,133899.1,55,3,2,F,2,55113,MN
19084240,25967.2,39,9,1,F,1,90024,CA
23173516,23111.2,52,8,5,M,2,94150,CA
16356084,4711.8,67,7,3,M,2,78277,TX
13631600,18548.0,39,9,1,F,1,90024,CA
14990987,9084.9,31,10,4,M,4,80982,CO
19078080,26328.4,20,5,1,M,1,60665,IL
24533046,14486.4,28,5,2,M,1,94242,CA
13632660,20889.0,24,3,1,F,3,92173,CA
14989315,0.0,16,8,2,F,1,90750,CA
16350864,0.0,20,5,3,M,1,87194,NM
21814720,58159.4,32,5,1,F,1,48206,MI
24534270,44181.0,54,2,3,F,2,90095,CA
17714554,59317.7,40,7,4,F,3,48208,MI
27252800,7452.0,71,3,0,F,2,85724,AZ
17725240,10449.4,18,4,2,F,1,21257,MD
20438325,39897.0,62,8,2,M,2,94161,CA
23164727,24419.7,59,5,0,F,2,75270,TX
31353393,60057.6,36,6,0,M,2,37215,TN
19084688,14211.4,35,5,1,M,4,92806,CA
13626500,17804.0,22,1,2,M,2,10153,NY
31344768,27411.4,19,4,0,F,1,40230,KY
28616511,5491.5,47,6,2,M,2,89194,NV
20450805,6370.5,60,7,3,F,2,48202,MI
19079508,19250.0,20,2,1,M,1,60625,IL
28631988,1743.2,83,3,1,M,1,46214,IN
28630581,5461.7,35,5,3,F,4,97297,OR
27257980,87430.0,33,5,2,F,2,60634,IL
17722874,73184.8,34,11,4,M,2,60606,IL
14989172,22819.5,48,3,4,M,2,78473,TX
27264220,88944.0,47,8,0,F,1,94187,CA
21807664,32926.4,55,8,2,F,4,60664,IL
17719143,117322.4,51,8,2,M,4,10145,NY
21815536,78039.0,30,3,3,M,2,33237,FL
19084198,101071.6,33,3,1,M,1,75310,TX
19082364,69209.0,45,5,5,M,2,32235,FL
25891129,4968.5,51,7,1,M,2,89194,NV
13630580,6355.0,78,8,1,M,2,14667,NY
25906158,1734.5,71,8,0,M,2,80274,CO
27265280,0.0,16,3,0,F,1,07303,NJ
28629195,922.1,67,7,1,F,4,85046,AZ
31340812,7753.3,19,4,0,F,1,14686,NY
29984504,40451.4,23,8,0,M,1,90003,CA
19075798,26994.8,41,1,5,M,4,94654,CA
31352680,42660.4,38,8,0,F,1,90024,CA
16351476,3266.3,76,6,3,M,2,77099,TX
23174944,6825.9,70,6,0,F,2,10079,NY
29980874,0.0,22,7,0,F,1,60606,IL
21806848,53796.6,44,7,1,M,1,10056,NY
28626360,3895.1,39,9,1,F,1,90024,CA
29987848,76540.2,57,7,2,F,2,74186,OK
20447970,90156.0,61,8,4,M,2,94225,CA
13628500,8961.0,87,7,1,M,4,89149,NV
13626910,26150.0,47,6,2,M,2,89194,NV
19078122,57257.2,40,9,2,M,2,10259,NY
29984218,9460.0,29,8,0,F,1,92173,CA
27263200,37096.0,38,10,0,F,1,90024,CA
16356696,1334.6,80,10,3,M,2,14667,NY
21813088,20152.6,41,4,3,F,4,78429,TX
23164319,17359.5,49,5,1,M,2,98133,WA
25897836,3020.0,51,8,1,F,2,20126,DC
28619304,14580.7,59,9,3,F,2,94174,CA
13628540,0.0,16,1,1,M,1,07117,NJ
31356268,41731.2,28,5,0,F,1,40261,KY
20445585,0.0,20,9,2,F,1,73130,OK
29991192,51053.2,69,9,0,M,3,90130,CA
23162891,0.0,18,6,0,F,1,90061,CA
14988886,17592.3,32,2,5,F,2,33157,FL
23164523,22827.9,37,3,0,F,2,77210,TX
31349437,74936.3,33,3,2,F,2,85032,AZ
23172904,9439.4,43,9,3,F,2,90048,CA
20441160,5427.0,94,11,2,F,2,53206,WI
31351599,69374.9,38,1,3,M,2,90048,CA
14992802,0.0,17,9,2,F,1,60636,IL
19085626,10269.0,29,8,2,M,2,90166,CA
17724668,7936.5,22,8,3,F,2,38140,TN
16357920,3895.1,41,11,3,F,1,90024,CA
14994331,0.0,16,8,2,M,1,32228,FL
19080894,27981.8,46,6,3,F,3,67276,KS
17724811,22167.6,37,4,2,F,1,10021,NY
24539490,42715.8,24,1,2,M,2,85028,AZ
27256960,0.0,15,9,0,F,1,95184,CA
19076246,42943.6,65,5,1,F,2,98137,WA
21810560,48224.8,38,11,1,F,1,90024,CA
17720794,17078.1,68,5,2,F,2,78754,TX
14997818,2908.4,25,4,3,M,2,78468,TX
28620711,0.0,16,8,1,F,1,97248,OR
28616490,5067.5,48,8,2,F,2,89194,NV
24528600,11151.0,77,5,2,F,4,92517,CA
21803504,61991.8,59,12,2,F,2,60665,IL
16360692,3306.2,53,3,5,F,2,10160,NY
24524766,11889.0,73,1,2,M,2,90159,CA
19075714,32319.0,28,7,1,F,1,28243,NC
17722731,23983.7,35,12,2,M,2,45219,OH
17725097,0.0,13,5,2,F,1,40561,KY
14990844,74842.9,50,10,2,M,1,33128,FL
20438100,74596.5,67,4,2,F,2,60639,IL
27268420,3964.0,28,9,0,M,1,94606,CA
24538878,13440.6,43,1,2,F,1,76183,TX
23173924,66072.6,55,1,0,M,2,53269,WI
25901161,3426.8,41,8,2,F,2,10154,NY
17712474,12803.7,56,3,2,F,2,10007,NY
29979202,57530.0,51,10,1,M,2,89194,NV
27266340,36352.0,68,10,0,F,4,85049,AZ
20446605,30276.0,46,3,2,F,1,32232,FL
28622139,16322.7,58,8,2,F,2,28223,NC
28616448,5018.2,35,5,2,M,2,97203,OR
25905607,2418.3,40,4,0,M,1,33654,FL
20451825,56206.5,60,7,3,F,2,21207,MD
14987500,62378.8,42,2,2,M,1,75370,TX
28632009,2742.2,28,7,3,F,2,75277,TX
24536268,105748.2,52,0,4,F,2,23541,VA
31350886,83867.2,32,2,0,M,1,76017,TX
14987357,7265.5,73,3,2,M,2,90159,CA
21804320,199916.6,42,5,1,F,1,19126,PA
24542712,18439.2,54,2,2,F,1,55481,MN
21813536,91616.2,55,8,2,M,2,85734,AZ
19080936,6725.6,75,5,1,M,2,21214,MD
20451030,36552.0,68,5,2,F,1,10007,NY
16351068,6441.5,67,7,3,F,2,98137,WA
25891699,1477.6,23,5,0,F,1,90191,CA
20438895,17587.5,35,2,2,M,1,10210,NY
25900040,3524.1,43,10,0,F,1,90024,CA
24529986,39142.8,32,0,5,F,4,90054,CA
29994536,168027.2,61,11,1,M,2,48202,MI
28624953,218.2,80,10,1,M,2,55174,MN
14996146,9265.3,40,6,2,F,2,45219,OH
25903384,6442.0,57,4,0,M,2,55422,MN
17718714,42978.0,37,4,2,M,1,90015,CA
28617834,2553.2,36,6,4,F,4,92804,CA
16354656,11815.9,47,7,8,M,3,97248,OR
31347643,42267.1,36,6,2,F,2,77089,TX
20442300,193794.0,60,7,4,M,3,60625,IL
25890027,2055.4,33,6,2,F,2,10138,NY
13633230,57882.0,40,10,1,F,1,19113,PA
29978058,0.0,19,11,0,F,1,92705,CA
16357308,1889.4,26,5,5,M,2,78734,TX
20444565,46560.0,65,2,2,F,2,98162,WA
24537042,23603.4,21,4,2,F,1,60607,IL
13632700,0.0,17,2,1,M,1,77105,TX
28633395,4124.2,37,4,4,F,3,94174,CA
21806480,30193.8,39,8,3,F,2,93702,CA
21815168,70821.4,57,10,1,M,1,90195,CA
27259040,15266.0,53,5,0,F,2,98186,WA
29992864,64537.0,55,5,0,F,2,90135,CA
28629174,6202.6,44,4,1,F,2,92508,CA
20447745,70305.0,64,11,2,M,2,90128,CA
14994045,13635.6,62,2,2,F,2,10084,NY
24540102,0.0,16,6,2,F,1,90106,CA
31341525,24398.4,63,3,0,F,2,55402,MN
27265360,71016.0,56,8,1,F,2,77105,TX
27249700,45380.0,25,6,0,F,1,10140,NY
24541488,26584.2,33,1,5,F,2,90122,CA
19087502,0.0,17,2,1,F,1,10160,NY
24535656,12256.2,62,0,2,F,1,85205,AZ
31339731,27843.8,19,4,0,M,1,77083,TX
24529824,0.0,18,1,2,M,1,60606,IL
20440935,0.0,18,7,2,M,1,10104,NY
31348356,135808.1,55,5,0,M,1,78204,TX
20448990,31333.5,28,4,2,F,3,92173,CA
29980302,16574.8,66,6,0,F,2,19160,PA
13624870,6605.0,72,2,1,M,2,90159,CA
29985318,165266.2,63,13,0,F,4,60663,IL
19088888,199183.6,55,5,1,M,3,75346,TX
24537204,56196.0,36,4,2,M,1,28230,NC
25887804,5589.2,38,5,3,M,4,74155,OK
13626420,6909.0,55,3,3,F,3,14686,NY
31338650,0.0,15,0,0,M,1,10138,NY
29980016,70543.0,53,13,1,M,2,10104,NY
16355676,3620.8,63,3,3,F,1,19155,PA
24535044,11439.0,79,7,2,M,2,14667,NY
31345849,0.0,14,6,0,M,1,90105,CA
27267400,13400.0,23,4,0,M,1,10083,NY
28626339,2316.1,47,5,1,M,1,87129,NM
17722016,12498.2,61,8,2,F,2,10079,NY
19076694,4624.2,62,2,1,F,3,85216,AZ
23173720,13169.1,43,9,0,F,1,90024,CA
24529212,59418.0,57,5,2,F,2,63169,MO
31337201,15191.5,71,1,0,M,2,90159,CA
20443770,25761.0,86,3,2,M,2,94162,CA
25896145,2991.7,35,2,3,M,2,95137,CA
23162483,26397.8,70,6,0,M,2,10007,NY
16352088,0.0,19,4,3,M,1,77036,TX
17724954,28632.5,40,6,3,F,2,97203,OR
24525216,27777.6,64,2,2,F,1,90159,CA
19086564,106246.0,41,1,1,M,3,90173,CA
19088930,27494.6,37,4,4,F,3,94174,CA
29982546,60066.6,64,14,1,F,3,02171,MA
14991801,0.0,17,9,2,F,1,97248,OR
29983932,80685.0,41,11,2,M,2,93702,CA
24528438,47070.0,48,5,3,M,2,89194,NV
31359511,199511.2,57,7,0,M,2,23463,VA
25893371,4784.2,61,8,1,F,3,46232,IN
31354106,12548.8,63,3,0,M,4,94127,CA
17716777,64418.9,49,6,3,F,2,15279,PA
27257040,67412.0,56,8,1,M,2,07117,NJ
25903954,11824.5,35,2,3,F,2,10236,NY
21802688,0.0,13,8,1,M,1,90750,CA
13631640,24300.0,48,8,1,M,1,10042,NY
28613676,11778.5,47,7,1,M,1,28215,NC
16349844,1387.0,74,4,3,M,2,90159,CA
16356816,12098.5,61,11,5,M,2,60606,IL
24539652,20475.0,28,5,3,M,2,77159,TX
20447175,9585.0,46,3,2,M,2,07171,NJ
24537816,16290.0,67,5,2,F,2,44127,OH
31346562,136946.6,57,7,0,M,1,10185,NY
16359876,12155.2,42,12,3,F,1,19113,PA
19076652,117768.0,58,8,1,M,2,85206,AZ
19079998,11323.2,85,5,1,M,1,53264,WI
24540876,24294.6,63,1,2,F,2,80228,CO
13628580,60242.0,42,2,5,F,2,90105,CA
28620690,0.0,15,7,1,F,1,97248,OR
19081874,30319.8,50,10,1,F,1,75364,TX
25895613,3001.0,68,5,0,M,2,45246,OH
23171272,29335.1,59,5,1,M,2,90095,CA
19082812,8897.0,78,8,1,M,2,14667,NY
17715919,27557.4,46,3,3,F,2,94103,CA
24527988,0.0,17,7,2,F,1,90750,CA
25901731,11758.2,57,4,2,F,2,90174,CA
21815616,25781.6,33,6,3,F,2,43272,OH
25897266,2925.8,65,2,0,M,2,10101,NY
27254920,17620.0,35,7,2,F,2,70156,LA
27261200,96958.0,46,8,5,M,2,14622,NY
21799792,17173.0,71,4,1,M,2,90159,CA
25896715,2182.2,75,2,0,F,2,46288,IN
14989029,0.0,16,8,2,F,1,92705,CA
19074818,9247.0,72,2,1,M,2,90159,CA
24531822,0.0,17,7,2,F,1,97254,OR
23163299,21593.2,42,4,0,M,2,10126,NY
19082322,43930.6,42,2,3,F,2,46261,IN
25898387,2246.0,34,10,0,M,2,90081,CA
29982260,24052.6,23,8,0,F,1,15279,PA
27249740,13210.0,71,3,0,M,2,90159,CA
29985890,99429.0,64,14,2,M,2,19136,PA
25894492,2826.6,38,5,3,F,2,60621,IL
23178633,21488.2,39,5,0,F,1,94608,CA
16355796,0.0,18,10,3,M,1,60636,IL
19077142,44297.4,48,8,3,F,2,78473,TX
13632170,15724.0,42,2,1,F,1,92176,CA
16361916,6314.3,72,8,3,M,2,77292,TX
28615041,693.6,62,2,1,F,3,85216,AZ
20443545,44355.0,54,5,2,F,1,75256,TX
20442525,13648.5,33,9,2,M,1,35236,AL
13632130,38010.0,61,1,1,M,2,44127,OH
17722588,21348.6,28,5,5,M,2,64105,MO
25905626,1542.8,70,7,0,F,4,10194,NY
19074776,14074.2,43,3,1,F,1,80275,CO
21812272,218878.4,37,10,1,M,1,75286,TX
16350048,0.0,18,3,3,F,1,90785,CA
31337569,13310.1,18,3,0,M,1,90785,CA
19088398,121441.6,58,8,1,M,2,23463,VA
25897817,3959.6,47,4,1,M,2,20126,DC
14990701,8705.4,83,3,2,F,2,10088,NY
21811456,34426.6,18,6,1,F,1,10229,NY
31341893,60145.0,46,5,1,M,2,89194,NV
17718571,6528.6,80,7,2,M,2,77168,TX
19085178,20942.6,22,1,1,M,1,14669,NY
31354474,13312.4,35,5,2,F,2,78784,TX
20441955,26868.0,37,4,5,F,2,98165,WA
28612269,11736.5,36,6,3,F,3,37208,TN
19078528,66735.2,55,4,1,F,1,90172,CA
24531210,132813.0,45,2,5,M,4,95184,CA
17723017,21733.4,19,5,3,F,2,10260,NY
27253860,5240.0,22,3,0,M,1,19107,PA
28612248,1487.4,78,8,1,F,2,90159,CA
19087460,18162.2,51,1,3,M,2,10160,NY
17712617,4020.9,78,5,2,M,2,46260,IN
29976100,0.0,20,5,0,M,1,10138,NY
31355187,101906.1,53,3,1,M,2,77105,TX
24538266,103003.2,37,5,4,M,2,78784,TX
27260100,12288.0,22,3,0,F,2,75328,TX
24542100,8746.2,31,8,3,F,4,90083,CA
29989234,45914.0,53,13,5,F,2,94150,CA
29988090,27271.2,65,5,0,F,2,10084,NY
29978344,45639.0,51,6,2,M,2,78473,TX
28624932,1429.9,61,1,1,F,1,85205,AZ
29988376,61190.8,29,8,2,F,2,78734,TX
25898938,3454.8,38,5,3,F,2,90145,CA
23178021,6493.7,85,1,0,M,4,32284,FL
25893390,0.0,22,4,0,F,1,46232,IN
23172292,33428.9,48,4,1,F,2,10171,NY
29981974,18169.8,34,13,2,M,4,80982,CO
23177613,1287.9,23,4,0,F,1,48202,MI
21801056,332404.8,54,7,2,M,2,90112,CA
17720651,0.0,12,4,2,F,1,23541,VA
21815248,33092.8,35,5,1,M,1,33654,FL
28624911,0.0,16,1,1,M,1,78738,TX
27264260,76020.0,60,2,0,M,2,44127,OH
31358062,29260.6,49,9,0,F,1,90045,CA
17716205,56656.6,38,5,7,F,2,64132,MO
29981688,149685.8,53,13,0,M,1,33128,FL
24542874,54122.4,71,5,2,M,2,77292,TX
14992087,50010.4,59,9,2,F,2,46249,IN
20439915,29473.5,71,7,2,M,2,10014,NY
19085584,126828.8,51,1,1,M,2,90186,CA
14993902,40110.4,34,4,2,M,1,76017,TX
23179245,14102.7,53,9,0,F,1,98111,WA
19083260,0.0,17,2,1,F,1,78738,TX
24537654,148701.6,58,6,3,M,2,60622,IL
27257000,17922.0,86,8,0,M,4,89149,NV
20446155,0.0,20,5,2,F,1,10171,NY
14995717,21654.6,66,6,2,F,2,43653,OH
14995574,13422.2,81,11,2,M,2,38177,TN
24525990,47876.4,59,6,2,M,2,94161,CA
23169844,13054.8,23,4,0,M,1,90003,CA
31358430,65591.4,31,1,2,M,3,85022,AZ
25897285,4663.6,57,4,1,F,2,90095,CA
17724096,0.0,13,5,2,F,1,10160,NY
31359488,0.0,17,2,0,F,1,21207,MD
28631946,7809.1,37,7,1,M,1,87137,NM
29990906,53609.6,38,8,3,F,2,07139,NJ
17718285,18071.3,72,9,2,F,2,10167,NY
25903403,16023.6,48,5,4,F,4,90106,CA
28613655,5585.6,58,7,1,M,2,94161,CA
21808560,21481.2,60,3,1,M,2,53217,WI
25903935,7839.6,39,6,3,M,2,10236,NY
21801872,35830.6,50,3,1,F,2,85206,AZ
14993616,2686.2,21,3,2,F,1,53277,WI
14988028,49009.4,61,11,4,F,4,10138,NY
29978630,0.0,19,11,0,F,1,90750,CA
17722445,32295.9,57,4,2,M,2,14252,NY
23163095,18849.1,51,6,4,F,4,10181,NY
29990334,41993.6,57,7,2,F,2,94225,CA
17716348,24261.9,35,12,5,M,2,98165,WA
20437305,9907.5,76,3,2,M,2,90159,CA
31344032,128059.4,43,3,5,M,2,64132,MO
14996432,32268.5,52,2,2,F,2,90135,CA
29976958,67482.8,69,9,0,F,2,98137,WA
31353761,25113.7,73,3,0,M,2,60624,IL
23170864,17419.1,45,1,0,F,1,85036,AZ
14992659,82633.1,60,10,2,F,4,60663,IL
27255940,35824.0,32,4,3,F,2,98165,WA
28612206,2247.2,77,7,1,F,3,75230,TX
17713982,23452.0,23,9,4,F,2,10165,NY
20439345,23331.0,78,5,2,M,2,77099,TX
29975286,61727.6,37,7,2,F,4,10070,NY
25895043,0.0,22,4,0,M,1,10126,NY
21808640,100887.8,41,4,3,M,2,10148,NY
27254880,7236.0,89,11,0,F,2,53206,WI
17715490,16884.4,33,10,5,F,4,98112,WA
21811904,52566.8,34,7,3,F,2,37232,TN
13628010,12485.0,25,4,3,M,4,30359,GA
21808928,16523.0,77,10,1,M,2,14667,NY
23172496,20572.2,59,5,2,M,2,78738,TX
13630090,95585.0,54,4,2,M,2,80243,CO
17719221,0.0,12,4,2,M,1,90095,CA
28612227,1387.0,72,2,1,M,2,90159,CA
25902833,510.0,31,4,0,F,1,60640,IL
16349760,10686.9,36,6,5,M,2,10209,NY
29994250,24208.8,77,7,0,F,2,53244,WI
17719936,9743.5,84,11,2,M,2,79931,TX
24542424,66461.4,55,2,3,F,3,40561,KY
25895594,1231.0,70,7,0,F,2,45246,OH
29983360,0.0,18,10,0,M,1,97254,OR
13628090,25180.0,57,7,2,F,3,46232,IN
13630130,4435.0,66,6,1,F,2,10101,NY
27260140,44874.0,64,6,0,M,2,78277,TX
13634860,39942.0,42,2,6,F,4,96802,HI
20440710,21687.0,54,11,2,F,2,46256,IN
25893922,4077.4,58,4,0,F,2,85068,AZ
31345113,255309.2,52,2,0,M,1,32272,FL
16350780,5773.3,52,12,3,F,1,90794,CA
29976386,32364.2,78,8,0,M,2,60647,IL
31347275,34677.1,74,4,0,F,2,21214,MD
21812720,11416.6,66,9,1,F,4,85046,AZ
20437875,9450.0,82,9,2,F,1,60613,IL
23177817,7099.3,49,5,0,M,2,10208,NY
16352820,3567.1,43,3,3,F,1,07149,NJ
27258060,59140.0,49,5,0,F,1,75256,TX
16354044,4687.6,53,3,3,M,2,85068,AZ
27252840,13818.0,54,4,2,F,3,14686,NY
13626990,23476.0,20,5,1,M,1,77076,TX
29988948,43219.0,44,11,2,M,2,92821,CA
21809376,0.0,16,4,1,F,1,74186,OK
28614999,6751.9,33,3,1,F,2,77210,TX
29987276,13981.0,82,12,0,M,2,14667,NY
27263320,52276.0,65,7,0,F,2,64115,MO
21806032,24648.0,42,5,3,M,2,97254,OR
13634330,6576.0,46,6,1,M,1,87193,NM
17713696,84531.2,39,6,2,F,2,45455,OH
14996388,29870.5,24,3,3,M,2,10260,NY
31349069,18326.4,68,8,0,M,2,10146,NY
23162687,1787.1,88,4,0,M,1,10170,NY
27251820,53872.0,64,6,0,F,1,44114,OH
19086032,57489.6,56,6,2,F,2,93769,CA
13633760,23883.0,76,6,1,M,2,53244,WI
14997246,13236.3,87,7,2,M,2,74146,OK
25901712,1359.3,70,7,0,M,2,43653,OH
14988314,29439.3,33,3,4,F,2,10161,NY
21806928,51539.8,55,8,2,M,2,97237,OR
17717570,0.0,10,9,2,F,1,97248,OR
19077632,33454.4,35,5,2,M,2,97203,OR
13631680,94123.0,52,2,3,M,2,60607,IL
17714268,13325.0,65,12,2,M,1,20175,DC
17715776,61968.4,50,6,2,F,1,90172,CA
14992230,0.0,19,4,2,M,1,78707,TX
21808112,58336.2,64,7,1,M,2,78277,TX
14996817,0.0,17,2,2,M,1,85734,AZ
19086116,41350.4,44,4,1,F,2,92508,CA
